OBJECTID,DATE,Count_
303,2021/01/09 15:00:00+00,28296
304,2021/01/10 15:00:00+00,28523
305,2021/01/11 15:00:00+00,28731
306,2021/01/12 15:00:00+00,28860
307,2021/01/13 15:00:00+00,28986
308,2021/01/14 15:00:00+00,29123
309,2021/01/15 15:00:00+00,29285
310,2021/01/16 15:00:00+00,29412
311,2021/01/17 15:00:00+00,29631
312,2021/01/18 15:00:00+00,29842
313,2021/01/19 15:00:00+00,30157
314,2021/01/20 15:00:00+00,30327
315,2021/01/21 15:00:00+00,30498
316,2021/01/22 15:00:00+00,30697
317,2021/01/23 15:00:00+00,30866
318,2021/01/24 15:00:00+00,31034
319,2021/01/25 15:00:00+00,31188
320,2021/01/26 15:00:00+00,31330
321,2021/01/27 15:00:00+00,31468
322,2021/01/28 15:00:00+00,31614
323,2021/01/29 15:00:00+00,31759
324,2021/01/30 15:00:00+00,31888
325,2021/01/31 15:00:00+00,32055
326,2021/02/01 15:00:00+00,32181
327,2021/02/02 15:00:00+00,32291
328,2021/02/03 15:00:00+00,32406
329,2021/02/04 15:00:00+00,32531
330,2021/02/05 15:00:00+00,32687
331,2021/02/06 15:00:00+00,32863
332,2021/02/07 15:00:00+00,33065
333,2021/02/08 15:00:00+00,33187
334,2021/02/09 15:00:00+00,33288
335,2021/02/10 15:00:00+00,33398
336,2021/02/11 15:00:00+00,33508
337,2021/02/12 15:00:00+00,33629
338,2021/02/13 15:00:00+00,33728
339,2021/02/14 15:00:00+00,33808
340,2021/02/15 15:00:00+00,33903
341,2021/02/16 15:00:00+00,33980
342,2021/02/17 15:00:00+00,34078
343,2021/02/18 15:00:00+00,34168
344,2021/02/19 15:00:00+00,34265
345,2021/02/20 15:00:00+00,34355
346,2021/02/21 15:00:00+00,34439
347,2021/02/22 15:00:00+00,34493
348,2021/02/23 15:00:00+00,34577
349,2021/02/24 15:00:00+00,34672
350,2021/02/25 15:00:00+00,34759
351,2021/02/26 15:00:00+00,34848
352,2021/02/27 15:00:00+00,34927
353,2021/02/28 15:00:00+00,35000
354,2021/03/01 15:00:00+00,35069
355,2021/03/02 15:00:00+00,35152
356,2021/03/03 15:00:00+00,35223
357,2021/03/04 15:00:00+00,35304
358,2021/03/05 15:00:00+00,35378
359,2021/03/06 15:00:00+00,35572
360,2021/03/07 15:00:00+00,35651
361,2021/03/08 15:00:00+00,35709
362,2021/03/09 15:00:00+00,35796
363,2021/03/10 15:00:00+00,35844
364,2021/03/11 15:00:00+00,35924
365,2021/03/12 15:00:00+00,35990
366,2021/03/13 15:00:00+00,36040
367,2021/03/14 14:00:00+00,36171
368,2021/03/15 14:00:00+00,36235
369,2021/03/16 14:00:00+00,36308
370,2021/03/17 14:00:00+00,36406
371,2021/03/18 14:00:00+00,36489
372,2021/03/19 14:00:00+00,36579
373,2021/03/20 14:00:00+00,36678
374,2021/03/21 14:00:00+00,36773
375,2021/03/22 14:00:00+00,36855
376,2021/03/23 14:00:00+00,36953
377,2021/03/24 14:00:00+00,37035
378,2021/03/25 14:00:00+00,37126
379,2021/03/26 14:00:00+00,37254
380,2021/03/27 14:00:00+00,37371
381,2021/03/28 14:00:00+00,37475
382,2021/03/29 14:00:00+00,37578
383,2021/03/30 14:00:00+00,37575
384,2021/03/31 14:00:00+00,37733
385,2021/04/01 14:00:00+00,37886
386,2021/04/02 14:00:00+00,38016
387,2021/04/03 14:00:00+00,38156
388,2021/04/04 14:00:00+00,38296
389,2021/04/05 14:00:00+00,38425
390,2021/04/06 14:00:00+00,38548
391,2021/04/07 14:00:00+00,38682
392,2021/04/08 14:00:00+00,38827
393,2021/04/09 14:00:00+00,38969
394,2021/04/10 14:00:00+00,39124
395,2021/04/11 14:00:00+00,39251
396,2021/04/12 14:00:00+00,39352
397,2021/04/13 14:00:00+00,39469
398,2021/04/14 14:00:00+00,39587
399,2021/04/15 14:00:00+00,39632
400,2021/04/16 14:00:00+00,39844
401,2021/04/17 14:00:00+00,39971
402,2021/04/18 14:00:00+00,40054
403,2021/04/19 14:00:00+00,40240
404,2021/04/20 14:00:00+00,40358
405,2021/04/21 14:00:00+00,40487
406,2021/04/22 14:00:00+00,40615
407,2021/04/23 14:00:00+00,40737
408,2021/04/24 14:00:00+00,40825
409,2021/04/25 14:00:00+00,40941
410,2021/04/26 14:00:00+00,41036
411,2021/04/27 14:00:00+00,41117
412,2021/04/28 14:00:00+00,41220
413,2021/04/29 14:00:00+00,41328
414,2021/04/30 14:00:00+00,41434
415,2021/05/01 14:00:00+00,41536
